sample_index,xi_norm2,radius_percentile,occurrence_likelihood,likelihood_rank,opacity_weight,log10_opacity_weight,compliance,compliance_percentile,compliance_z,is_tail_95
35,4.3642142354e+01,7.9009173169e-01,2.0990826831e-01,86,3.3313715169e-06,-5.4773769318e+00,1.6228166097e-01,7.1000000000e-01,5.2275527381e-01,0
36,2.6263530245e+01,9.4271056250e-02,9.0572894375e-01,15,1.9785213421e-02,-1.7036592607e+00,1.5379497673e-01,3.2000000000e-01,-5.6197578644e-01,0
37,2.8069191318e+01,1.4534151637e-01,8.5465848363e-01,19,8.0213306539e-03,-2.0957535809e+00,1.6589620706e-01,8.5000000000e-01,9.8475083081e-01,0
38,3.4511213777e+01,4.1370215371e-01,5.8629784629e-01,49,3.2016880578e-04,-3.4946209839e+00,1.6556513752e-01,8.3000000000e-01,9.4243496245e-01,0
39,2.8880662440e+01,1.7252294018e-01,8.2747705982e-01,21,5.3461077038e-03,-2.2719622961e+00,1.6234228706e-01,7.2000000000e-01,5.3050423690e-01,0
40,3.8831004311e+01,6.1283687365e-01,3.8716312635e-01,70,3.6927373586e-05,-4.4326515799e+00,1.7392498036e-01,9.7000000000e-01,2.0109537067e+00,1
41,2.0851377337e+01,1.4966627478e-02,9.8503337252e-01,3,2.9619301379e-01,-5.2842518926e-01,1.4897946494e-01,1.1000000000e-01,-1.1774735547e+00,0
42,4.3587335721e+01,7.8844413416e-01,2.1155586584e-01,85,3.4239244818e-06,-5.4654758227e+00,1.4284756726e-01,1.0000000000e-02,-1.9612260408e+00,0
43,2.9706159519e+01,2.0267573778e-01,7.9732426222e-01,23,3.5382074342e-03,-2.4512167093e+00,1.6881928249e-01,9.4000000000e-01,1.3583656161e+00,0
44,3.4461911139e+01,4.1136688502e-01,5.8863311498e-01,48,3.2815947476e-04,-3.4839150521e+00,1.4929942248e-01,1.3000000000e-01,-1.1365779738e+00,0
45,2.7123416249e+01,1.1693664206e-01,8.8306335794e-01,18,1.2871194882e-02,-1.8903811340e+00,1.6211224725e-01,7.0000000000e-01,5.0110154912e-01,0
46,3.1928324065e+01,2.9446909221e-01,7.0553090779e-01,38,1.1647866668e-03,-2.9337536093e+00,1.5414512002e-01,3.4000000000e-01,-5.1722199433e-01,0
