########## P0-A uniform_eta optimize uniform ##########
WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
INFO:src.meshing.box_source:Traction patch: half-width 0.9375 (auto max(0.5, 1.5h)), area 1.5625, traction_z -0.2048 (total force 0.32 held fixed across refinement levels)
INFO:src.meshing.box_source:Built box-mesh fenitop dicts (beam_3d.py reference): cell_type=tetrahedron, domain=[[0, 0, 0], [10, 30, 10]], refinement=0.64 -> elements=[16, 48, 16], h=0.625, R=0.6 (R/h=0.96, FIXED across levels), E=100, nu=0.25, vol_frac=0.08
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
opt_iter: 79, opt_time: 0.293 (s), beta: 2, C: 0.374, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 80: max |u| over all load cases = 1.426712e+00 m (1426.712209 mm)
opt_iter: 80, opt_time: 0.276 (s), beta: 2, C: 0.373, V: 0.080, U: 0.000, change: 0.020
opt_iter: 81, opt_time: 0.398 (s), beta: 2, C: 0.373, V: 0.080, U: 0.000, change: 0.020
opt_iter: 82, opt_time: 0.41 (s), beta: 2, C: 0.372, V: 0.080, U: 0.000, change: 0.020
opt_iter: 83, opt_time: 0.249 (s), beta: 2, C: 0.372, V: 0.080, U: 0.000, change: 0.020
opt_iter: 84, opt_time: 0.282 (s), beta: 2, C: 0.371, V: 0.080, U: 0.000, change: 0.020
opt_iter: 85, opt_time: 0.393 (s), beta: 2, C: 0.371, V: 0.080, U: 0.000, change: 0.020
opt_iter: 86, opt_time: 0.339 (s), beta: 2, C: 0.371, V: 0.080, U: 0.000, change: 0.020
opt_iter: 87, opt_time: 0.323 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 88, opt_time: 0.266 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 89, opt_time: 0.228 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 90: max |u| over all load cases = 1.412259e+00 m (1412.258575 mm)
opt_iter: 90, opt_time: 0.3 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
