WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
INFO:src.meshing.box_source:Traction patch: half-width 0.9375 (auto max(0.5, 1.5h)), area 1.5625, traction_z -0.2048 (total force 0.32 held fixed across refinement levels)
INFO:src.meshing.box_source:Built box-mesh fenitop dicts (beam_3d.py reference): cell_type=tetrahedron, domain=[[0, 0, 0], [10, 30, 10]], refinement=0.64 -> elements=[16, 48, 16], h=0.625, R=0.6 (R/h=0.96, FIXED across levels), E=100, nu=0.25, vol_frac=0.08
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
opt_iter: 16, opt_time: 0.0974 (s), beta: 1, C: 2.272, V: 0.080, U: 0.000, change: 0.020
opt_iter: 17, opt_time: 0.0954 (s), beta: 1, C: 2.103, V: 0.080, U: 0.000, change: 0.020
opt_iter: 18, opt_time: 0.094 (s), beta: 1, C: 1.958, V: 0.080, U: 0.000, change: 0.020
opt_iter: 19, opt_time: 0.0993 (s), beta: 1, C: 1.831, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 20: max |u| over all load cases = 5.385868e+00 m (5385.867993 mm)
opt_iter: 20, opt_time: 0.116 (s), beta: 1, C: 1.720, V: 0.080, U: 0.000, change: 0.020
opt_iter: 21, opt_time: 0.104 (s), beta: 1, C: 1.622, V: 0.080, U: 0.000, change: 0.020
opt_iter: 22, opt_time: 0.107 (s), beta: 1, C: 1.535, V: 0.080, U: 0.000, change: 0.020
opt_iter: 23, opt_time: 0.1 (s), beta: 1, C: 1.457, V: 0.080, U: 0.000, change: 0.020
opt_iter: 24, opt_time: 0.0996 (s), beta: 1, C: 1.387, V: 0.080, U: 0.000, change: 0.020
opt_iter: 25, opt_time: 0.0997 (s), beta: 1, C: 1.323, V: 0.080, U: 0.000, change: 0.020
opt_iter: 26, opt_time: 0.0976 (s), beta: 1, C: 1.265, V: 0.080, U: 0.000, change: 0.020
opt_iter: 27, opt_time: 0.11 (s), beta: 1, C: 1.212, V: 0.080, U: 0.000, change: 0.020
opt_iter: 28, opt_time: 0.112 (s), beta: 1, C: 1.163, V: 0.080, U: 0.000, change: 0.020
opt_iter: 29, opt_time: 0.0976 (s), beta: 1, C: 1.118, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 30: max |u| over all load cases = 3.369636e+00 m (3369.635865 mm)
opt_iter: 30, opt_time: 0.0971 (s), beta: 1, C: 1.076, V: 0.080, U: 0.000, change: 0.020
opt_iter: 31, opt_time: 0.099 (s), beta: 1, C: 1.036, V: 0.080, U: 0.000, change: 0.020
opt_iter: 32, opt_time: 0.0978 (s), beta: 1, C: 0.999, V: 0.080, U: 0.000, change: 0.020
opt_iter: 33, opt_time: 0.101 (s), beta: 1, C: 0.963, V: 0.080, U: 0.000, change: 0.020
opt_iter: 34, opt_time: 0.0995 (s), beta: 1, C: 0.928, V: 0.080, U: 0.000, change: 0.020
opt_iter: 35, opt_time: 0.102 (s), beta: 1, C: 0.893, V: 0.080, U: 0.000, change: 0.020
opt_iter: 36, opt_time: 0.104 (s), beta: 1, C: 0.858, V: 0.080, U: 0.000, change: 0.020
opt_iter: 37, opt_time: 0.102 (s), beta: 1, C: 0.824, V: 0.080, U: 0.000, change: 0.020
opt_iter: 38, opt_time: 0.103 (s), beta: 1, C: 0.791, V: 0.080, U: 0.000, change: 0.020
opt_iter: 39, opt_time: 0.102 (s), beta: 1, C: 0.758, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 40: max |u| over all load cases = 2.380549e+00 m (2380.548996 mm)
opt_iter: 40, opt_time: 0.111 (s), beta: 1, C: 0.727, V: 0.080, U: 0.000, change: 0.020
opt_iter: 41, opt_time: 0.114 (s), beta: 1, C: 0.697, V: 0.080, U: 0.000, change: 0.020
opt_iter: 42, opt_time: 0.11 (s), beta: 1, C: 0.669, V: 0.080, U: 0.000, change: 0.020
opt_iter: 43, opt_time: 0.109 (s), beta: 1, C: 0.642, V: 0.080, U: 0.000, change: 0.020
opt_iter: 44, opt_time: 0.106 (s), beta: 1, C: 0.617, V: 0.080, U: 0.000, change: 0.020
opt_iter: 45, opt_time: 0.107 (s), beta: 1, C: 0.594, V: 0.080, U: 0.000, change: 0.020
opt_iter: 46, opt_time: 0.117 (s), beta: 1, C: 0.572, V: 0.080, U: 0.000, change: 0.020
opt_iter: 47, opt_time: 0.105 (s), beta: 1, C: 0.552, V: 0.080, U: 0.000, change: 0.020
opt_iter: 48, opt_time: 0.105 (s), beta: 1, C: 0.540, V: 0.080, U: 0.000, change: 0.020
opt_iter: 49, opt_time: 0.105 (s), beta: 1, C: 0.529, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 50: max |u| over all load cases = 1.883613e+00 m (1883.613151 mm)
opt_iter: 50, opt_time: 0.112 (s), beta: 2, C: 0.530, V: 0.073, U: 0.000, change: 0.020
opt_iter: 51, opt_time: 0.121 (s), beta: 2, C: 0.493, V: 0.076, U: 0.000, change: 0.020
opt_iter: 52, opt_time: 0.113 (s), beta: 2, C: 0.458, V: 0.080, U: 0.000, change: 0.020
opt_iter: 53, opt_time: 0.105 (s), beta: 2, C: 0.447, V: 0.080, U: 0.000, change: 0.020
opt_iter: 54, opt_time: 0.107 (s), beta: 2, C: 0.439, V: 0.080, U: 0.000, change: 0.020
opt_iter: 55, opt_time: 0.105 (s), beta: 2, C: 0.432, V: 0.080, U: 0.000, change: 0.020
opt_iter: 56, opt_time: 0.106 (s), beta: 2, C: 0.426, V: 0.080, U: 0.000, change: 0.020
opt_iter: 57, opt_time: 0.101 (s), beta: 2, C: 0.420, V: 0.080, U: 0.000, change: 0.020
opt_iter: 58, opt_time: 0.103 (s), beta: 2, C: 0.415, V: 0.080, U: 0.000, change: 0.020
