WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
  [diag] opt_iter 30: max |u| over all load cases = 3.369765e+00 m (3369.765372 mm)
opt_iter: 30, opt_time: 0.173 (s), beta: 1, C: 1.076, V: 0.080, U: 0.000, change: 0.020
opt_iter: 31, opt_time: 0.185 (s), beta: 1, C: 1.036, V: 0.080, U: 0.000, change: 0.020
opt_iter: 32, opt_time: 0.178 (s), beta: 1, C: 0.999, V: 0.080, U: 0.000, change: 0.020
opt_iter: 33, opt_time: 0.164 (s), beta: 1, C: 0.963, V: 0.080, U: 0.000, change: 0.020
opt_iter: 34, opt_time: 0.153 (s), beta: 1, C: 0.928, V: 0.080, U: 0.000, change: 0.020
opt_iter: 35, opt_time: 0.135 (s), beta: 1, C: 0.893, V: 0.080, U: 0.000, change: 0.020
opt_iter: 36, opt_time: 0.145 (s), beta: 1, C: 0.859, V: 0.080, U: 0.000, change: 0.020
opt_iter: 37, opt_time: 0.145 (s), beta: 1, C: 0.825, V: 0.080, U: 0.000, change: 0.020
opt_iter: 38, opt_time: 0.167 (s), beta: 1, C: 0.791, V: 0.080, U: 0.000, change: 0.020
opt_iter: 39, opt_time: 0.144 (s), beta: 1, C: 0.759, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 40: max |u| over all load cases = 2.380865e+00 m (2380.865482 mm)
opt_iter: 40, opt_time: 0.15 (s), beta: 1, C: 0.727, V: 0.080, U: 0.000, change: 0.020
opt_iter: 41, opt_time: 0.185 (s), beta: 1, C: 0.697, V: 0.080, U: 0.000, change: 0.020
opt_iter: 42, opt_time: 0.221 (s), beta: 1, C: 0.669, V: 0.080, U: 0.000, change: 0.020
opt_iter: 43, opt_time: 0.171 (s), beta: 1, C: 0.643, V: 0.080, U: 0.000, change: 0.020
opt_iter: 44, opt_time: 0.159 (s), beta: 1, C: 0.618, V: 0.080, U: 0.000, change: 0.020
opt_iter: 45, opt_time: 0.157 (s), beta: 1, C: 0.594, V: 0.080, U: 0.000, change: 0.020
opt_iter: 46, opt_time: 0.241 (s), beta: 1, C: 0.573, V: 0.080, U: 0.000, change: 0.020
opt_iter: 47, opt_time: 0.202 (s), beta: 1, C: 0.552, V: 0.080, U: 0.000, change: 0.020
opt_iter: 48, opt_time: 0.149 (s), beta: 1, C: 0.540, V: 0.080, U: 0.000, change: 0.020
opt_iter: 49, opt_time: 0.217 (s), beta: 1, C: 0.530, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 50: max |u| over all load cases = 1.883953e+00 m (1883.952559 mm)
opt_iter: 50, opt_time: 0.155 (s), beta: 2, C: 0.530, V: 0.073, U: 0.000, change: 0.020
opt_iter: 51, opt_time: 0.171 (s), beta: 2, C: 0.493, V: 0.076, U: 0.000, change: 0.020
opt_iter: 52, opt_time: 0.166 (s), beta: 2, C: 0.458, V: 0.080, U: 0.000, change: 0.020
opt_iter: 53, opt_time: 0.175 (s), beta: 2, C: 0.448, V: 0.080, U: 0.000, change: 0.020
opt_iter: 54, opt_time: 0.17 (s), beta: 2, C: 0.439, V: 0.080, U: 0.000, change: 0.020
opt_iter: 55, opt_time: 0.165 (s), beta: 2, C: 0.432, V: 0.080, U: 0.000, change: 0.020
opt_iter: 56, opt_time: 0.144 (s), beta: 2, C: 0.426, V: 0.080, U: 0.000, change: 0.020
opt_iter: 57, opt_time: 0.188 (s), beta: 2, C: 0.420, V: 0.080, U: 0.000, change: 0.020
opt_iter: 58, opt_time: 0.175 (s), beta: 2, C: 0.415, V: 0.080, U: 0.000, change: 0.020
opt_iter: 59, opt_time: 0.162 (s), beta: 2, C: 0.411, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 60: max |u| over all load cases = 1.536061e+00 m (1536.061316 mm)
opt_iter: 60, opt_time: 0.224 (s), beta: 2, C: 0.407, V: 0.080, U: 0.000, change: 0.020
opt_iter: 61, opt_time: 0.154 (s), beta: 2, C: 0.403, V: 0.080, U: 0.000, change: 0.020
opt_iter: 62, opt_time: 0.218 (s), beta: 2, C: 0.400, V: 0.080, U: 0.000, change: 0.020
opt_iter: 63, opt_time: 0.203 (s), beta: 2, C: 0.397, V: 0.080, U: 0.000, change: 0.020
opt_iter: 64, opt_time: 0.176 (s), beta: 2, C: 0.394, V: 0.080, U: 0.000, change: 0.020
opt_iter: 65, opt_time: 0.15 (s), beta: 2, C: 0.391, V: 0.080, U: 0.000, change: 0.020
opt_iter: 66, opt_time: 0.149 (s), beta: 2, C: 0.389, V: 0.080, U: 0.000, change: 0.020
opt_iter: 67, opt_time: 0.138 (s), beta: 2, C: 0.387, V: 0.080, U: 0.000, change: 0.020
opt_iter: 68, opt_time: 0.182 (s), beta: 2, C: 0.385, V: 0.080, U: 0.000, change: 0.020
opt_iter: 69, opt_time: 0.168 (s), beta: 2, C: 0.383, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 70: max |u| over all load cases = 1.457917e+00 m (1457.916578 mm)
opt_iter: 70, opt_time: 0.257 (s), beta: 2, C: 0.382, V: 0.080, U: 0.000, change: 0.020
opt_iter: 71, opt_time: 0.169 (s), beta: 2, C: 0.380, V: 0.080, U: 0.000, change: 0.020
opt_iter: 72, opt_time: 0.154 (s), beta: 2, C: 0.379, V: 0.080, U: 0.000, change: 0.020
opt_iter: 73, opt_time: 0.152 (s), beta: 2, C: 0.378, V: 0.080, U: 0.000, change: 0.020
opt_iter: 74, opt_time: 0.166 (s), beta: 2, C: 0.377, V: 0.080, U: 0.000, change: 0.020
opt_iter: 75, opt_time: 0.135 (s), beta: 2, C: 0.376, V: 0.080, U: 0.000, change: 0.020
opt_iter: 76, opt_time: 0.199 (s), beta: 2, C: 0.375, V: 0.080, U: 0.000, change: 0.020
opt_iter: 77, opt_time: 0.13 (s), beta: 2, C: 0.375, V: 0.080, U: 0.000, change: 0.020
opt_iter: 78, opt_time: 0.128 (s), beta: 2, C: 0.374, V: 0.080, U: 0.000, change: 0.020
opt_iter: 79, opt_time: 0.184 (s), beta: 2, C: 0.374, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 80: max |u| over all load cases = 1.426712e+00 m (1426.712209 mm)
opt_iter: 80, opt_time: 0.138 (s), beta: 2, C: 0.373, V: 0.080, U: 0.000, change: 0.020
opt_iter: 81, opt_time: 0.131 (s), beta: 2, C: 0.373, V: 0.080, U: 0.000, change: 0.020
opt_iter: 82, opt_time: 0.19 (s), beta: 2, C: 0.372, V: 0.080, U: 0.000, change: 0.020
opt_iter: 83, opt_time: 0.148 (s), beta: 2, C: 0.372, V: 0.080, U: 0.000, change: 0.020
opt_iter: 84, opt_time: 0.151 (s), beta: 2, C: 0.371, V: 0.080, U: 0.000, change: 0.020
opt_iter: 85, opt_time: 0.15 (s), beta: 2, C: 0.371, V: 0.080, U: 0.000, change: 0.020
opt_iter: 86, opt_time: 0.139 (s), beta: 2, C: 0.371, V: 0.080, U: 0.000, change: 0.020
opt_iter: 87, opt_time: 0.173 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 88, opt_time: 0.127 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 89, opt_time: 0.165 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 90: max |u| over all load cases = 1.412259e+00 m (1412.258575 mm)
opt_iter: 90, opt_time: 0.135 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 91, opt_time: 0.128 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 92, opt_time: 0.127 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 93, opt_time: 0.26 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 94, opt_time: 0.135 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 95, opt_time: 0.341 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 96, opt_time: 0.222 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 97, opt_time: 0.159 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 98, opt_time: 0.153 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 99, opt_time: 0.129 (s), beta: 2, C: 0.367, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 100: max |u| over all load cases = 1.283749e+00 m (1283.748710 mm)
opt_iter: 100, opt_time: 0.167 (s), beta: 4, C: 0.336, V: 0.070, U: 0.000, change: 0.020
opt_iter: 101, opt_time: 0.174 (s), beta: 4, C: 0.325, V: 0.072, U: 0.000, change: 0.020
opt_iter: 102, opt_time: 0.162 (s), beta: 4, C: 0.312, V: 0.074, U: 0.000, change: 0.020
opt_iter: 103, opt_time: 0.165 (s), beta: 4, C: 0.299, V: 0.076, U: 0.000, change: 0.020
opt_iter: 104, opt_time: 0.179 (s), beta: 4, C: 0.286, V: 0.078, U: 0.000, change: 0.020
opt_iter: 105, opt_time: 0.239 (s), beta: 4, C: 0.275, V: 0.080, U: 0.000, change: 0.020
opt_iter: 106, opt_time: 0.159 (s), beta: 4, C: 0.274, V: 0.080, U: 0.000, change: 0.020
opt_iter: 107, opt_time: 0.164 (s), beta: 4, C: 0.273, V: 0.080, U: 0.000, change: 0.020
opt_iter: 108, opt_time: 0.159 (s), beta: 4, C: 0.272, V: 0.080, U: 0.000, change: 0.020
opt_iter: 109, opt_time: 0.17 (s), beta: 4, C: 0.271, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 110: max |u| over all load cases = 1.074807e+00 m (1074.807276 mm)
opt_iter: 110, opt_time: 0.143 (s), beta: 4, C: 0.270, V: 0.080, U: 0.000, change: 0.020
