phase1 chain armed 2026-07-29 13:18:19; waiting for gap study + probe to finish
machine free at 2026-07-29 22:05:16; starting Phase 1 on 128 ranks
########## E1FIELD :: 2026-07-29 22:05:16 ##########
WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
INFO:src.meshing.box_source:Traction patch: half-width 0.9375 (auto max(0.5, 1.5h)), area 1.5625, traction_z -0.2048 (total force 0.32 held fixed across refinement levels)
INFO:src.meshing.box_source:Built box-mesh fenitop dicts (beam_3d.py reference): cell_type=tetrahedron, domain=[[0, 0, 0], [10, 30, 10]], refinement=0.64 -> elements=[16, 48, 16], h=0.625, R=0.6 (R/h=0.96, FIXED across levels), E=100, nu=0.25, vol_frac=0.08
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
opt_iter: 87, opt_time: 4.05 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 88, opt_time: 3.96 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 89, opt_time: 3.66 (s), beta: 2, C: 0.370, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 90: max |u| over all load cases = 1.412267e+00 m (1412.267349 mm)
opt_iter: 90, opt_time: 3.93 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 91, opt_time: 3.25 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 92, opt_time: 4.02 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 93, opt_time: 3.43 (s), beta: 2, C: 0.369, V: 0.080, U: 0.000, change: 0.020
opt_iter: 94, opt_time: 3.12 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 95, opt_time: 3.45 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 96, opt_time: 4.5 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 97, opt_time: 4.14 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 98, opt_time: 2.87 (s), beta: 2, C: 0.368, V: 0.080, U: 0.000, change: 0.020
opt_iter: 99, opt_time: 3.11 (s), beta: 2, C: 0.367, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 100: max |u| over all load cases = 1.283752e+00 m (1283.752291 mm)
opt_iter: 100, opt_time: 5.14 (s), beta: 4, C: 0.336, V: 0.070, U: 0.000, change: 0.020
opt_iter: 101, opt_time: 4.05 (s), beta: 4, C: 0.325, V: 0.072, U: 0.000, change: 0.020
opt_iter: 102, opt_time: 4 (s), beta: 4, C: 0.312, V: 0.074, U: 0.000, change: 0.020
opt_iter: 103, opt_time: 4.52 (s), beta: 4, C: 0.299, V: 0.076, U: 0.000, change: 0.020
opt_iter: 104, opt_time: 4.72 (s), beta: 4, C: 0.286, V: 0.078, U: 0.000, change: 0.020
opt_iter: 105, opt_time: 4.75 (s), beta: 4, C: 0.275, V: 0.080, U: 0.000, change: 0.020
opt_iter: 106, opt_time: 3.36 (s), beta: 4, C: 0.274, V: 0.080, U: 0.000, change: 0.020
opt_iter: 107, opt_time: 2.79 (s), beta: 4, C: 0.273, V: 0.080, U: 0.000, change: 0.020
opt_iter: 108, opt_time: 4.34 (s), beta: 4, C: 0.272, V: 0.080, U: 0.000, change: 0.020
opt_iter: 109, opt_time: 3.67 (s), beta: 4, C: 0.271, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 110: max |u| over all load cases = 1.074830e+00 m (1074.829865 mm)
opt_iter: 110, opt_time: 3.15 (s), beta: 4, C: 0.270, V: 0.080, U: 0.000, change: 0.020
opt_iter: 111, opt_time: 4.22 (s), beta: 4, C: 0.270, V: 0.080, U: 0.000, change: 0.020
opt_iter: 112, opt_time: 3.31 (s), beta: 4, C: 0.269, V: 0.080, U: 0.000, change: 0.020
opt_iter: 113, opt_time: 4.31 (s), beta: 4, C: 0.269, V: 0.080, U: 0.000, change: 0.020
opt_iter: 114, opt_time: 3.88 (s), beta: 4, C: 0.268, V: 0.080, U: 0.000, change: 0.020
opt_iter: 115, opt_time: 3.47 (s), beta: 4, C: 0.268, V: 0.080, U: 0.000, change: 0.020
opt_iter: 116, opt_time: 3.12 (s), beta: 4, C: 0.267, V: 0.080, U: 0.000, change: 0.020
opt_iter: 117, opt_time: 3.55 (s), beta: 4, C: 0.267, V: 0.080, U: 0.000, change: 0.020
opt_iter: 118, opt_time: 3.3 (s), beta: 4, C: 0.266, V: 0.080, U: 0.000, change: 0.020
opt_iter: 119, opt_time: 4.02 (s), beta: 4, C: 0.266, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 120: max |u| over all load cases = 1.060531e+00 m (1060.530780 mm)
opt_iter: 120, opt_time: 3.17 (s), beta: 4, C: 0.265, V: 0.080, U: 0.000, change: 0.020
opt_iter: 121, opt_time: 4.14 (s), beta: 4, C: 0.265, V: 0.080, U: 0.000, change: 0.020
opt_iter: 122, opt_time: 3.81 (s), beta: 4, C: 0.265, V: 0.080, U: 0.000, change: 0.020
opt_iter: 123, opt_time: 3.83 (s), beta: 4, C: 0.264, V: 0.080, U: 0.000, change: 0.020
opt_iter: 124, opt_time: 3.84 (s), beta: 4, C: 0.264, V: 0.080, U: 0.000, change: 0.020
opt_iter: 125, opt_time: 4.04 (s), beta: 4, C: 0.264, V: 0.080, U: 0.000, change: 0.020
opt_iter: 126, opt_time: 2.61 (s), beta: 4, C: 0.264, V: 0.080, U: 0.000, change: 0.020
opt_iter: 127, opt_time: 4.08 (s), beta: 4, C: 0.263, V: 0.080, U: 0.000, change: 0.020
opt_iter: 128, opt_time: 3.77 (s), beta: 4, C: 0.263, V: 0.080, U: 0.000, change: 0.020
